,IBB,IYE,IYR,OIH,SMH,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2006-08-04,23.230239868164062,25.588359832763672,43.8748893737793,35.631126403808594,23.19952964782715,23.10823631286621,43.49976348876953,15.862462043762207,24.294017791748047,16.12510871887207,17.44045639038086,21.062175750732422,25.32590675354004,26.739227294921875
2006-08-07,22.892057418823242,25.808298110961914,43.39772415161133,35.827293395996094,23.066024780273438,23.219398498535156,43.958518981933594,15.829059600830078,24.195507049560547,16.067989349365234,17.39815902709961,20.81490135192871,25.24631690979004,26.681549072265625
2006-08-08,22.680696487426758,25.761720657348633,42.68782043457031,35.27986145019531,23.014118194580078,22.97482681274414,43.70280075073242,15.714570999145508,23.983327865600586,16.010868072509766,17.4757080078125,21.01272964477539,25.23835563659668,26.409622192382812
2006-08-09,22.6026611328125,25.86005210876465,42.2921142578125,35.345733642578125,23.028940200805664,22.997058868408203,44.07133483886719,15.528512001037598,23.612028121948242,16.108783721923828,17.362913131713867,21.01890754699707,25.26224136352539,26.04706382751465
2006-08-10,22.501855850219727,25.751375198364258,42.379398345947266,35.241798400878906,23.540687561035156,23.05634880065918,43.710323333740234,15.604846954345703,23.80146598815918,16.17406463623047,17.546199798583984,20.987995147705078,25.23835563659668,26.401386260986328
2006-08-11,22.410802841186523,25.68667984008789,42.030277252197266,34.88701248168945,22.720300674438477,22.796955108642578,43.73289489746094,15.557138442993164,23.665069580078125,16.084300994873047,17.510957717895508,20.93853759765625,25.118976593017578,26.393144607543945
2006-08-14,22.358779907226562,25.29336929321289,42.42013931274414,34.18748474121094,23.139476776123047,22.7376708984375,42.83040237426758,15.576217651367188,23.71053695678711,16.22303581237793,17.546199798583984,21.080718994140625,25.174678802490234,26.467308044433594
2006-08-15,22.82377052307129,25.371002197265625,42.914764404296875,34.69691467285156,23.720600128173828,23.219398498535156,43.048484802246094,15.838606834411621,24.142454147338867,16.59841537475586,17.658987045288086,21.21672821044922,25.389572143554688,26.838117599487305
2006-08-16,23.204219818115234,25.220924377441406,43.03112030029297,35.10243225097656,24.45538902282715,23.62701416015625,42.86801528930664,15.924476623535156,24.680482864379883,16.859548568725586,17.680143356323242,21.01890754699707,25.6124324798584,27.11004066467285
2006-08-17,23.412334442138672,25.122594833374023,43.07767868041992,34.46879959106445,24.48358917236328,23.478797912597656,42.56718444824219,15.976959228515625,24.710798263549805,16.932992935180664,17.651947021484375,20.994178771972656,25.676105499267578,27.274837493896484
2006-08-18,23.47410774230957,25.48226547241211,43.089317321777344,35.27986145019531,24.609777450561523,23.478797912597656,43.229007720947266,16.000804901123047,24.65016746520996,16.998279571533203,17.757686614990234,21.229093551635742,25.715906143188477,27.2666015625
