,EWA,EWC,EWG,EWH,EWI,EWJ,EWL,EWM,EWP,EWS,EWT,EWU,EWW,EWY,EWZ,EZA
2010-06-18,13.53211784362793,22.6248779296875,16.229700088500977,11.482354164123535,23.30250358581543,33.398712158203125,16.73870277404785,24.349348068237305,23.502708435058594,16.230682373046875,18.541017532348633,20.206350326538086,44.10456085205078,41.987396240234375,51.42570877075195,43.406883239746094
2010-06-21,13.678720474243164,22.53476905822754,16.245758056640625,11.638931274414062,23.06304359436035,33.63996887207031,16.754688262939453,24.914154052734375,23.25033950805664,16.454551696777344,18.84185218811035,20.083057403564453,44.197357177734375,42.837310791015625,51.97670364379883,43.28652572631836
2010-06-22,13.423755645751953,22.182533264160156,16.109304428100586,11.579283714294434,22.539222717285156,33.22637176513672,16.63478660583496,24.558536529541016,22.965618133544922,16.146726608276367,18.636018753051758,19.8775691986084,43.37904739379883,41.96111297607422,51.11960220336914,42.624507904052734
2010-06-23,13.348457336425781,21.976377487182617,16.137802124023438,11.659748077392578,22.759674072265625,33.08403396606445,16.686752319335938,24.6619930267334,23.116926193237305,16.2273006439209,18.604351043701172,20.12989044189453,43.393463134765625,42.043067932128906,51.25407409667969,43.090091705322266
2010-06-24,13.078141212463379,21.605295181274414,15.958671569824219,11.621794700622559,22.09071922302246,32.97988510131836,16.532474517822266,24.471965789794922,22.410356521606445,16.001136779785156,18.493518829345703,19.781381607055664,42.67305374145508,41.76107406616211,50.362709045410156,41.86564254760742
2010-06-25,13.155372619628906,21.794960021972656,15.934248924255371,11.705293655395508,22.394790649414062,33.11875534057617,16.629911422729492,24.619766235351562,22.636991500854492,16.2273006439209,18.446016311645508,19.725622177124023,43.42736053466797,41.7698860168457,51.415443420410156,42.50810241699219
2010-06-28,12.975164413452148,21.646526336669922,15.877252578735352,11.682520866394043,22.1971492767334,32.73686981201172,17.458158493041992,24.6408748626709,22.417022705078125,16.382787704467773,18.38268280029297,20.0601863861084,43.215484619140625,41.56720733642578,50.80839538574219,42.00170135498047
2010-06-29,12.357297897338867,20.64048194885254,15.31544017791748,11.318154335021973,21.102493286132812,31.93841552734375,16.3457088470459,24.09189796447754,21.203847885131836,15.831513404846191,17.891845703125,19.098302841186523,41.181400299072266,39.716644287109375,48.21878433227539,40.867942810058594
2010-06-30,12.215703964233398,20.5085391998291,15.234020233154297,11.211882591247559,20.980863571166992,31.93841552734375,16.23202896118164,24.155241012573242,21.217182159423828,15.888052940368652,17.73351287841797,18.73585319519043,40.588138580322266,39.3994026184082,47.5118408203125,39.7946662902832
2010-07-01,12.222136497497559,20.29413604736328,15.494568824768066,11.234655380249023,21.589000701904297,32.04256057739258,16.426908493041992,24.281925201416016,22.21038055419922,15.958731651306152,17.701841354370117,18.958900451660156,40.452537536621094,39.57563781738281,48.38785171508789,39.89291763305664
